executable,_exec,_algo,_env,_latent_space,_use_colors,_fixed_l,_use_videos,_encoder_type,_lp_norm,_has_fit,_use_volume_adaptive_threshold,_no_normalisation,_taxons_elitism
aurora_environment-hard_maze_algorithm-aurora_uniform_latent_space_size-2_encoder_type-cnn_ae_use_colors_has_fit_no_normalise,aurora,aurora_uniform,hard_maze,2,True,,False,"""cnn_ae""",2,True,False,True,False
aurora_environment-hard_maze_algorithm-aurora_uniform_latent_space_size-5_encoder_type-cnn_ae_use_colors_has_fit_no_normalise,aurora,aurora_uniform,hard_maze,5,True,,False,"""cnn_ae""",2,True,False,True,False
aurora_environment-hard_maze_algorithm-aurora_uniform_latent_space_size-8_encoder_type-cnn_ae_use_colors_has_fit_no_normalise,aurora,aurora_uniform,hard_maze,8,True,,False,"""cnn_ae""",2,True,False,True,False
aurora_environment-hard_maze_algorithm-aurora_uniform_latent_space_size-10_encoder_type-cnn_ae_use_colors_has_fit_no_normalise,aurora,aurora_uniform,hard_maze,10,True,,False,"""cnn_ae""",2,True,False,True,False
aurora_environment-hard_maze_algorithm-aurora_uniform_latent_space_size-15_encoder_type-cnn_ae_use_colors_has_fit_no_normalise,aurora,aurora_uniform,hard_maze,15,True,,False,"""cnn_ae""",2,True,False,True,False
aurora_environment-hard_maze_algorithm-aurora_uniform_latent_space_size-20_encoder_type-cnn_ae_use_colors_has_fit_no_normalise,aurora,aurora_uniform,hard_maze,20,True,,False,"""cnn_ae""",2,True,False,True,False
aurora_environment-hard_maze_algorithm-aurora_novelty_latent_space_size-10_encoder_type-cnn_ae_use_colors_has_fit_no_normalise,aurora,aurora_novelty,hard_maze,10,True,,False,"""cnn_ae""",2,True,False,True,False
aurora_environment-hard_maze_algorithm-aurora_surprise_latent_space_size-10_encoder_type-cnn_ae_use_colors_has_fit_no_normalise,aurora,aurora_surprise,hard_maze,10,True,,False,"""cnn_ae""",2,True,False,True,False
aurora_environment-hard_maze_algorithm-hand_coded_qd_latent_space_size-2_encoder_type-none_use_colors_has_fit_no_normalise,aurora,hand_coded_qd,hard_maze,2,True,,False,"""none""",2,True,False,True,False
aurora_environment-hard_maze_algorithm-hand_coded_qd_no_sel_latent_space_size-2_encoder_type-none_use_colors_has_fit_no_normalise,aurora,hand_coded_qd_no_sel,hard_maze,2,True,,False,"""none""",2,True,False,True,False
aurora_environment-hard_maze_algorithm-taxons_latent_space_size-10_encoder_type-cnn_ae_use_colors_no_normalise,aurora,taxons,hard_maze,10,True,,False,"""cnn_ae""",2,False,False,True,False
aurora_environment-hard_maze_algorithm-aurora_uniform_latent_space_size-2_encoder_type-cnn_ae_use_colors_has_fit_vat_no_normalise,aurora,aurora_uniform,hard_maze,2,True,,False,"""cnn_ae""",2,True,True,True,False
aurora_environment-hard_maze_algorithm-aurora_uniform_latent_space_size-5_encoder_type-cnn_ae_use_colors_has_fit_vat_no_normalise,aurora,aurora_uniform,hard_maze,5,True,,False,"""cnn_ae""",2,True,True,True,False
aurora_environment-hard_maze_algorithm-aurora_uniform_latent_space_size-8_encoder_type-cnn_ae_use_colors_has_fit_vat_no_normalise,aurora,aurora_uniform,hard_maze,8,True,,False,"""cnn_ae""",2,True,True,True,False
aurora_environment-hard_maze_algorithm-aurora_uniform_latent_space_size-10_encoder_type-cnn_ae_use_colors_has_fit_vat_no_normalise,aurora,aurora_uniform,hard_maze,10,True,,False,"""cnn_ae""",2,True,True,True,False
aurora_environment-hard_maze_algorithm-aurora_uniform_latent_space_size-15_encoder_type-cnn_ae_use_colors_has_fit_vat_no_normalise,aurora,aurora_uniform,hard_maze,15,True,,False,"""cnn_ae""",2,True,True,True,False
aurora_environment-hard_maze_algorithm-aurora_uniform_latent_space_size-20_encoder_type-cnn_ae_use_colors_has_fit_vat_no_normalise,aurora,aurora_uniform,hard_maze,20,True,,False,"""cnn_ae""",2,True,True,True,False
aurora_environment-hard_maze_algorithm-hand_coded_taxons_latent_space_size-2_encoder_type-none_use_colors_no_normalise_tax_eli,aurora,hand_coded_taxons,hard_maze,2,True,,False,"""none""",2,False,False,True,True
aurora_environment-hexa_cam_vertical_algorithm-aurora_novelty_latent_space_size-10_encoder_type-cnn_ae_use_colors_has_fit_no_normalise,aurora,aurora_novelty,hexa_cam_vertical,10,True,,False,"""cnn_ae""",2,True,False,True,False
aurora_environment-hexa_cam_vertical_algorithm-aurora_surprise_latent_space_size-10_encoder_type-cnn_ae_use_colors_has_fit_no_normalise,aurora,aurora_surprise,hexa_cam_vertical,10,True,,False,"""cnn_ae""",2,True,False,True,False
aurora_environment-hexa_cam_vertical_algorithm-aurora_uniform_latent_space_size-2_encoder_type-cnn_ae_use_colors_has_fit_no_normalise,aurora,aurora_uniform,hexa_cam_vertical,2,True,,False,"""cnn_ae""",2,True,False,True,False
aurora_environment-hexa_cam_vertical_algorithm-aurora_uniform_latent_space_size-5_encoder_type-cnn_ae_use_colors_has_fit_no_normalise,aurora,aurora_uniform,hexa_cam_vertical,5,True,,False,"""cnn_ae""",2,True,False,True,False
aurora_environment-hexa_cam_vertical_algorithm-aurora_uniform_latent_space_size-8_encoder_type-cnn_ae_use_colors_has_fit_no_normalise,aurora,aurora_uniform,hexa_cam_vertical,8,True,,False,"""cnn_ae""",2,True,False,True,False
aurora_environment-hexa_cam_vertical_algorithm-aurora_uniform_latent_space_size-10_encoder_type-cnn_ae_use_colors_has_fit_no_normalise,aurora,aurora_uniform,hexa_cam_vertical,10,True,,False,"""cnn_ae""",2,True,False,True,False
aurora_environment-hexa_cam_vertical_algorithm-aurora_uniform_latent_space_size-15_encoder_type-cnn_ae_use_colors_has_fit_no_normalise,aurora,aurora_uniform,hexa_cam_vertical,15,True,,False,"""cnn_ae""",2,True,False,True,False
aurora_environment-hexa_cam_vertical_algorithm-aurora_uniform_latent_space_size-20_encoder_type-cnn_ae_use_colors_has_fit_no_normalise,aurora,aurora_uniform,hexa_cam_vertical,20,True,,False,"""cnn_ae""",2,True,False,True,False
aurora_environment-hexa_cam_vertical_algorithm-aurora_uniform_latent_space_size-3_encoder_type-cnn_ae_use_colors_has_fit_no_normalise,aurora,aurora_uniform,hexa_cam_vertical,3,True,,False,"""cnn_ae""",2,True,False,True,False
aurora_environment-hexa_cam_vertical_algorithm-aurora_uniform_latent_space_size-4_encoder_type-cnn_ae_use_colors_has_fit_no_normalise,aurora,aurora_uniform,hexa_cam_vertical,4,True,,False,"""cnn_ae""",2,True,False,True,False
aurora_environment-hexa_cam_vertical_algorithm-hand_coded_qd_latent_space_size-2_encoder_type-none_use_colors_has_fit_no_normalise,aurora,hand_coded_qd,hexa_cam_vertical,2,True,,False,"""none""",2,True,False,True,False
aurora_environment-hexa_cam_vertical_algorithm-hand_coded_qd_no_sel_latent_space_size-2_encoder_type-none_use_colors_has_fit_no_normalise,aurora,hand_coded_qd_no_sel,hexa_cam_vertical,2,True,,False,"""none""",2,True,False,True,False
aurora_environment-hexa_cam_vertical_algorithm-taxons_latent_space_size-10_encoder_type-cnn_ae_use_colors_no_normalise,aurora,taxons,hexa_cam_vertical,10,True,,False,"""cnn_ae""",2,False,False,True,False
aurora_environment-hexa_cam_vertical_algorithm-aurora_uniform_latent_space_size-2_encoder_type-cnn_ae_use_colors_has_fit_vat_no_normalise,aurora,aurora_uniform,hexa_cam_vertical,2,True,,False,"""cnn_ae""",2,True,True,True,False
aurora_environment-hexa_cam_vertical_algorithm-aurora_uniform_latent_space_size-5_encoder_type-cnn_ae_use_colors_has_fit_vat_no_normalise,aurora,aurora_uniform,hexa_cam_vertical,5,True,,False,"""cnn_ae""",2,True,True,True,False
aurora_environment-hexa_cam_vertical_algorithm-aurora_uniform_latent_space_size-8_encoder_type-cnn_ae_use_colors_has_fit_vat_no_normalise,aurora,aurora_uniform,hexa_cam_vertical,8,True,,False,"""cnn_ae""",2,True,True,True,False
aurora_environment-hexa_cam_vertical_algorithm-aurora_uniform_latent_space_size-10_encoder_type-cnn_ae_use_colors_has_fit_vat_no_normalise,aurora,aurora_uniform,hexa_cam_vertical,10,True,,False,"""cnn_ae""",2,True,True,True,False
aurora_environment-hexa_cam_vertical_algorithm-aurora_uniform_latent_space_size-15_encoder_type-cnn_ae_use_colors_has_fit_vat_no_normalise,aurora,aurora_uniform,hexa_cam_vertical,15,True,,False,"""cnn_ae""",2,True,True,True,False
aurora_environment-hexa_cam_vertical_algorithm-aurora_uniform_latent_space_size-20_encoder_type-cnn_ae_use_colors_has_fit_vat_no_normalise,aurora,aurora_uniform,hexa_cam_vertical,20,True,,False,"""cnn_ae""",2,True,True,True,False
aurora_environment-hexa_cam_vertical_algorithm-hand_coded_taxons_latent_space_size-2_encoder_type-none_use_colors_no_normalise_tax_eli,aurora,hand_coded_taxons,hexa_cam_vertical,2,True,,False,"""none""",2,False,False,True,True
aurora_environment-air_hockey_algorithm-aurora_curiosity_latent_space_size-10_encoder_type-mlp_ae_use_colors_has_fit_no_normalise,aurora,aurora_curiosity,air_hockey,10,True,,False,"""mlp_ae""",2,True,False,True,False
aurora_environment-air_hockey_algorithm-aurora_novelty_latent_space_size-10_encoder_type-mlp_ae_use_colors_has_fit_no_normalise,aurora,aurora_novelty,air_hockey,10,True,,False,"""mlp_ae""",2,True,False,True,False
aurora_environment-air_hockey_algorithm-aurora_surprise_latent_space_size-10_encoder_type-mlp_ae_use_colors_has_fit_no_normalise,aurora,aurora_surprise,air_hockey,10,True,,False,"""mlp_ae""",2,True,False,True,False
aurora_environment-air_hockey_algorithm-aurora_nov_sur_latent_space_size-10_encoder_type-mlp_ae_use_colors_has_fit_no_normalise,aurora,aurora_nov_sur,air_hockey,10,True,,False,"""mlp_ae""",2,True,False,True,False
aurora_environment-air_hockey_algorithm-aurora_uniform_latent_space_size-2_encoder_type-mlp_ae_use_colors_has_fit_no_normalise,aurora,aurora_uniform,air_hockey,2,True,,False,"""mlp_ae""",2,True,False,True,False
aurora_environment-air_hockey_algorithm-aurora_uniform_latent_space_size-5_encoder_type-mlp_ae_use_colors_has_fit_no_normalise,aurora,aurora_uniform,air_hockey,5,True,,False,"""mlp_ae""",2,True,False,True,False
aurora_environment-air_hockey_algorithm-aurora_uniform_latent_space_size-8_encoder_type-mlp_ae_use_colors_has_fit_no_normalise,aurora,aurora_uniform,air_hockey,8,True,,False,"""mlp_ae""",2,True,False,True,False
aurora_environment-air_hockey_algorithm-aurora_uniform_latent_space_size-10_encoder_type-mlp_ae_use_colors_has_fit_no_normalise,aurora,aurora_uniform,air_hockey,10,True,,False,"""mlp_ae""",2,True,False,True,False
aurora_environment-air_hockey_algorithm-aurora_uniform_latent_space_size-15_encoder_type-mlp_ae_use_colors_has_fit_no_normalise,aurora,aurora_uniform,air_hockey,15,True,,False,"""mlp_ae""",2,True,False,True,False
aurora_environment-air_hockey_algorithm-aurora_uniform_latent_space_size-20_encoder_type-mlp_ae_use_colors_has_fit_no_normalise,aurora,aurora_uniform,air_hockey,20,True,,False,"""mlp_ae""",2,True,False,True,False
aurora_environment-air_hockey_algorithm-hand_coded_qd_latent_space_size-2_encoder_type-none_use_colors_has_fit_no_normalise,aurora,hand_coded_qd,air_hockey,2,True,,False,"""none""",2,True,False,True,False
aurora_environment-air_hockey_algorithm-hand_coded_qd_no_sel_latent_space_size-2_encoder_type-none_use_colors_has_fit_no_normalise,aurora,hand_coded_qd_no_sel,air_hockey,2,True,,False,"""none""",2,True,False,True,False
aurora_environment-air_hockey_algorithm-taxons_latent_space_size-10_encoder_type-mlp_ae_use_colors_no_normalise,aurora,taxons,air_hockey,10,True,,False,"""mlp_ae""",2,False,False,True,False
aurora_environment-air_hockey_algorithm-hand_coded_taxons_latent_space_size-2_encoder_type-none_use_colors_no_normalise,aurora,hand_coded_taxons,air_hockey,2,True,,False,"""none""",2,False,False,True,False
aurora_environment-air_hockey_algorithm-aurora_uniform_latent_space_size-2_encoder_type-mlp_ae_use_colors_has_fit_vat_no_normalise,aurora,aurora_uniform,air_hockey,2,True,,False,"""mlp_ae""",2,True,True,True,False
aurora_environment-air_hockey_algorithm-aurora_uniform_latent_space_size-5_encoder_type-mlp_ae_use_colors_has_fit_vat_no_normalise,aurora,aurora_uniform,air_hockey,5,True,,False,"""mlp_ae""",2,True,True,True,False
aurora_environment-air_hockey_algorithm-aurora_uniform_latent_space_size-8_encoder_type-mlp_ae_use_colors_has_fit_vat_no_normalise,aurora,aurora_uniform,air_hockey,8,True,,False,"""mlp_ae""",2,True,True,True,False
aurora_environment-air_hockey_algorithm-aurora_uniform_latent_space_size-10_encoder_type-mlp_ae_use_colors_has_fit_vat_no_normalise,aurora,aurora_uniform,air_hockey,10,True,,False,"""mlp_ae""",2,True,True,True,False
aurora_environment-air_hockey_algorithm-aurora_uniform_latent_space_size-15_encoder_type-mlp_ae_use_colors_has_fit_vat_no_normalise,aurora,aurora_uniform,air_hockey,15,True,,False,"""mlp_ae""",2,True,True,True,False
aurora_environment-air_hockey_algorithm-aurora_uniform_latent_space_size-20_encoder_type-mlp_ae_use_colors_has_fit_vat_no_normalise,aurora,aurora_uniform,air_hockey,20,True,,False,"""mlp_ae""",2,True,True,True,False
aurora_environment-air_hockey_algorithm-hand_coded_taxons_latent_space_size-2_encoder_type-none_use_colors_no_normalise_tax_eli,aurora,hand_coded_taxons,air_hockey,2,True,,False,"""none""",2,False,False,True,True
